CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F167,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F837,
,,,,,Age : Age 100 and over - Unit : Persons,Age : Total\ Age - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons,Age : Mean age - Unit : Persons,Age : Median age - Unit : Persons,Age : Age under 1 - Unit : Persons,
78,E06000001,Hartlepool,Local Authorities,LA,14,92028,5698,3202,1990,5653,2570,2451,5955,5622,16869,19326,5837,8174,5568,1323,533,39.82945,40,1097,
79,E06000002,Middlesbrough,Local Authorities,LA,15,138412,9431,5178,3098,8485,3747,4506,11690,9765,25414,27065,7531,10833,7393,1658,807,37.78762,37,1979,
80,E06000003,Redcar and Cleveland,Local Authorities,LA,20,135177,7553,4362,2736,7803,3608,3515,8092,7628,24120,28285,9511,14418,8721,2133,980,41.51965,43,1575,
81,E06000004,Stockton-on-Tees,Local Authorities,LA,14,191610,12322,6824,4149,11457,5168,5296,12651,12602,37535,39652,11648,16102,10368,2429,1052,39.07663,39,2477,
82,E06000005,Darlington,Local Authorities,LA,28,105564,6579,3790,2284,6224,2721,2357,6071,6607,20917,21560,6685,9717,6172,1740,810,40.2098,41,1344,
83,E06000006,Halton,Local Authorities,LA,16,125746,8354,4563,2820,7577,3339,3130,8024,8141,25004,26192,8508,10370,6132,1349,630,38.8502,39,1722,
84,E06000007,Warrington,Local Authorities,LA,37,202228,12309,7003,4552,12296,5259,4657,12088,12503,42327,41988,12441,18198,10294,2498,1224,39.49586,40,2459,
85,E06000008,Blackburn with Darwen,Local Authorities,LA,19,147489,11278,6386,4092,10322,4278,3651,9718,10951,30862,26717,7884,10356,6360,1547,798,36.2338,35,2169,
86,E06000009,Blackpool,Local Authorities,LA,40,142065,8218,4652,2784,8052,3487,3501,8529,8580,26854,29094,9415,14353,9148,2431,1307,41.33272,42,1673,
87,E06000010,"Kingston upon Hull, City of",Local Authorities,LA,42,256406,17358,8754,5220,13944,6413,7913,24040,20274,52108,47717,13844,18301,12788,3166,1476,37.47216,36,3599,
88,E06000011,East Riding of Yorkshire,Local Authorities,LA,88,334179,16400,9990,6640,18625,8229,7976,15779,15073,60345,72406,27070,38716,23720,5947,3072,43.48781,45,3142,
89,E06000012,North East Lincolnshire,Local Authorities,LA,42,159616,10005,5546,3420,9264,4119,4148,10521,9987,29802,32277,10236,14733,9813,2469,1272,40.19397,41,2055,
90,E06000013,North Lincolnshire,Local Authorities,LA,26,167446,10282,5782,3595,9550,4217,3806,9522,9969,31667,35433,11452,16263,10012,2542,1222,40.7993,42,1997,
91,E06000014,York,Local Authorities,LA,41,198051,10677,5747,3601,9712,4179,7879,19746,14159,38818,36363,11716,16929,11629,3200,1657,39.5221,38,2187,
92,E06000015,Derby,Local Authorities,LA,51,248752,17743,9329,5654,14857,6250,7385,20069,18211,51298,44608,12586,18884,13540,3564,1681,37.61231,36,3476,
93,E06000016,Leicester,Local Authorities,LA,53,329839,24297,12925,7855,20162,8608,11842,35406,29571,68167,55694,14056,18888,12936,3605,1787,34.80327,31,5091,
